,Company name,City,Region,Date of incorporation,Release date,"Fixed assets
th EUR
2019","Fixed assets
th EUR
2018","Fixed assets
th EUR
2017","Fixed assets
th EUR
2016","Fixed assets
th EUR
2015","Fixed assets
th EUR
2014","Fixed assets
th EUR
2013","Fixed assets
th EUR
2012","Fixed assets
th EUR
2011","Fixed assets
th EUR
2010","Number of employees
2019","Number of employees
2018","Number of employees
2017","Number of employees
2016","Number of employees
2015","Number of employees
2014","Number of employees
2013","Number of employees
2012","Number of employees
2011","Number of employees
2010","Costs of employees
th EUR
2019","Costs of employees
th EUR
2018","Costs of employees
th EUR
2017","Costs of employees
th EUR
2016","Costs of employees
th EUR
2015","Costs of employees
th EUR
2014","Costs of employees
th EUR
2013","Costs of employees
th EUR
2012","Costs of employees
th EUR
2011","Costs of employees
th EUR
2010","Material costs
th EUR
2019","Material costs
th EUR
2018","Material costs
th EUR
2017","Material costs
th EUR
2016","Material costs
th EUR
2015","Material costs
th EUR
2014","Material costs
th EUR
2013","Material costs
th EUR
2012","Material costs
th EUR
2011","Material costs
th EUR
2010","Sales
th EUR
2019","Sales
th EUR
2018","Sales
th EUR
2017","Sales
th EUR
2016","Sales
th EUR
2015","Sales
th EUR
2014","Sales
th EUR
2013","Sales
th EUR
2012","Sales
th EUR
2011","Sales
th EUR
2010"
11.,WACKER CHEMIE AG,MöNCHEN,"MÅnchen, Landeshauptstadt",1914,04/2020,n.a.,4328900,4251500,4821500,4968600,4508600,4188500,4321800,3819200,3484300,n.a.,14301,13723,17118,16937,16744,16134,16009,16934,16033,n.a.,1231500,1275800,1379400,1350100,1246900,1133000,1196800,1282500,1135700,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,4978800,4924200,5404200,5296200,4826400,4478900,4634900,4909700,4748400
12.,ROCHE DIAGNOSTICS GMBH,MANNHEIM,Mannheim,01/01/1859,04/2020,n.a.,2629647,2532284,2435797,2079917,2078116,1913339,1758528,1760236,1777462,n.a.,10846,10923,10304,10408,11189,10861,10527,10364,10979,n.a.,1337818,1104888,861436,1052841,1017486,891337,898839,836988,787371,n.a.,2215035,2141314,2149721,1938635,2056902,1973904,2005187,1970364,1578731,n.a.,4828948,4570620,4444729,3805411,4195142,4109249,3899979,3965604,3340926
13.,BASELL POLYOLEFINE GMBH,WESSELING,Rhein-Erft-Kreis,27/08/1953,04/2020,n.a.,526259,499664,487190,525769,556816,622601,652342,679428,753916,n.a.,1955,2028,1993,1983,1868,2220,2370,2398,2508,n.a.,251606,248207,190450,241538,197061,209599,259446,217237,208428,n.a.,3068818,2724600,2242652,2545399,3652684,3756484,4173731,4097174,3463512,n.a.,4131179,4157803,3666945,3734116,4559064,4472635,4867165,4856647,4199038
14.,SYMRISE AG,HOLZMINDEN,Holzminden,05/03/2002,04/2020,3731088,2948548,2867510,2971789,2702009,2681617,1274960,1257914,1270797,1285223,10018,9188,9188,8897,8273,7088,5914,5480,5580,5340,706125,641606,621592,587434,526360,456332,397855,352673,338884,327309,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,3407854,3154032,2996294,2903187,2601730,2120107,1830386,1734934,1583647,1571890
15.,DOW DEUTSCHLAND ANLAGENGESELLSCHAFT MBH,STADE,Stade,16/08/2005,04/2020,n.a.,824872,699630,719647,698182,1112866,1113124,1126547,1036143,969590,n.a.,12,6,n.a.,5,5,n.a.,n.a.,n.a.,n.a.,n.a.,12587,7166,31,2661,407,126,4974,17,3,n.a.,2009272,1954013,1941677,1960958,2198880,2190775,2328669,2260548,1942008,n.a.,2936683,2898848,2796648,3008999,2778835,2721968,2876566,2726097,2423371
16.,PAUL HARTMANN AG,HEIDENHEIM,Heidenheim,1818,04/2020,n.a.,612595,601238,479269,n.a.,467089,441898,438146,434529,422579,n.a.,10873,10363,10122,n.a.,10086,10304,10130,10038,9824,n.a.,551989,528989,510422,n.a.,467332,449675,434706,400020,388664,n.a.,880034,839549,831548,n.a.,787857,795423,n.a.,768476,749120,n.a.,2119103,2058628,1986450,n.a.,1862035,1794442,1758377,1699404,1633046
17.,REHAU AG + CO.,REHAU,"Hof, Landkreis",01/01/1948,04/2020,n.a.,638163,618097,541580,451797,373963,371340,368183,319456,305456,n.a.,9918,8668,8290,8200,8083,7914,7979,7701,6960,n.a.,576920,526369,490338,475866,449636,434788,423524,393968,356766,n.a.,1144816,1116396,987225,933674,901049,868344,848172,791114,661063,n.a.,2091898,1997459,1889873,1800730,1683784,1579244,1497040,1515357,1290707
18.,CSL BEHRING GMBH,MARBURG,Marburg-Biedenkopf,27/03/1953,04/2020,n.a.,474722,n.a.,315160,279338,237428,174730,154410,154454,154284,n.a.,2743,n.a.,2405,2345,2268,2184,2095,2063,2033,n.a.,247673,n.a.,196614,199149,174841,166111,152557,144868,146562,n.a.,905629,n.a.,747719,707744,539894,590757,559811,451614,413247,n.a.,2080906,n.a.,1609674,1528622,1301985,1252635,1158410,1036876,1034555
19.,ROCHE PHARMA AKTIENGESELLSCHAFT,GRENZACH-WYHLEN,Lîrrach,1896,04/2020,n.a.,52658,42333,40133,41048,48521,38725,38739,238438,225205,n.a.,1427,1368,1294,1259,1279,1211,1140,1134,1149,n.a.,216312,186028,150371,151612,163825,143051,123716,118434,114616,n.a.,1559988,1572354,1592409,1448729,1351044,1209653,1124186,n.a.,1103636,n.a.,1967858,1985411,2000571,1832611,1726129,1579200,1459777,1383803,1437564
20.,BAXTER ONCOLOGY GMBH,HALLE,GÅtersloh,10/10/2001,04/2020,n.a.,n.a.,115852,117412,124117,120570,96368,82895,87920,90785,n.a.,n.a.,506,480,463,441,424,398,388,390,n.a.,n.a.,36733,32144,34289,33064,29390,27611,26209,25617,n.a.,n.a.,25742,23062,18981,16805,18018,16435,18168,16250,n.a.,n.a.,1678173,204015,174436,157291,175264,192055,153026,129335
21.,AIR LIQUIDE INDUSTRIEGASE GMBH & CO. KG,DöSSELDORF,DÅsseldorf,23/04/2004,04/2020,n.a.,1078832,1099643,1206169,924638,818727,761015,738698,763950,732746,n.a.,4361,4590,4753,4736,4658,4787,4580,4462,4325,n.a.,338691,361604,358039,336251,332643,316640,309304,294709,284509,n.a.,371190,342940,464714,610704,438139,410767,557555,482247,490974,n.a.,1760417,1862350,1745205,1540423,1431432,1826198,1615510,1845211,1693557
22.,MSD SHARP & DOHME GESELLSCHAFT MIT BESCHRéNKTER HAFTUNG,HAAR,"MÅnchen, Landkreis",09/01/1963,04/2020,n.a.,460811,480516,432367,449116,477616,486438,592158,617136,353320,n.a.,1193,1117,1050,1049,1053,1125,1276,1487,1147,n.a.,176352,151268,142591,151674,144106,152817,153634,174607,136326,n.a.,1100989,1036136,872561,799733,747283,743646,746695,649944,224590,n.a.,1506271,1385012,1196398,1077196,1029627,1029593,1047317,976686,456993
23.,JANSSEN CILAG GMBH,NEUSS,Neuss,16/09/1958,04/2020,n.a.,47669,69598,36820,38477,40852,52096,152621,73321,74939,n.a.,943,855,818,844,844,823,824,836,932,n.a.,148263,134346,112211,116486,128571,101631,85426,88115,89443,n.a.,1091342,802584,661937,583812,576230,517783,445647,318504,261815,n.a.,1428350,1103879,890857,780276,774701,703977,615559,476829,428163
24.,CLARIANT PRODUKTE (DEUTSCHLAND) GMBH,FRANKFURT,Frankfurt am Main,31/07/1996,04/2020,n.a.,n.a.,711851,757804,719151,731707,787874,798600,392575,356544,n.a.,n.a.,2467,2518,3997,3995,4327,3874,3265,3277,n.a.,n.a.,241917,242841,370669,345043,372457,353347,243344,251518,n.a.,n.a.,591580,545639,793716,800463,908796,988566,882450,773244,n.a.,n.a.,1406707,1295060,1984863,1840365,2029569,2077989,1831485,1519499
25.,BERLIN-CHEMIE AKTIENGESELLSCHAFT,BERLIN,Berlin,23/06/1990,04/2020,n.a.,n.a.,n.a.,231359,215709,341357,502752,618962,194046,237148,n.a.,n.a.,n.a.,2405,2631,2669,2922,2851,2882,2913,n.a.,n.a.,n.a.,165933,165456,164216,160288,176181,162921,162117,n.a.,n.a.,n.a.,530824,486869,471299,487103,442959,435735,387908,n.a.,n.a.,n.a.,1310505,1197043,1241101,1421400,1045249,1016970,1007051
26.,STO SE & CO. KGAA,STöHLINGEN,Waldshut,1835,04/2020,n.a.,313754,314404,308309,281995,276829,260614,255051,247100,232781,n.a.,5164,5123,5134,4893,4809,4626,4511,4401,4092,n.a.,352262,341800,348910,324057,307909,296993,286794,271840,252832,n.a.,603068,561353,528901,534675,545761,522810,520930,505365,430883,n.a.,1332370,1277398,1230673,1216553,1208729,1166011,1141685,1106783,986045
27.,GRöNENTHAL PHARMA GMBH & CO. KOMMANDITGESELLSCHAFT,AACHEN,StÑdteregion Aachen,28/08/1974,04/2020,n.a.,1461049,804743,662743,528461,533892,537587,284742,275351,274548,n.a.,5011,5471,5382,5257,5448,4369,4394,4718,4966,n.a.,388433,n.a.,366978,n.a.,n.a.,296457,312698,312092,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1280472,1333981,1389858,1212403,1154275,900957,972907,946574,910389
28.,DAW SE,OBER-RAMSTADT,Darmstadt-Dieburg,04/01/2010,04/2020,n.a.,n.a.,286445,277039,263122,n.a.,n.a.,n.a.,184739,190824,n.a.,n.a.,5688,5743,5636,n.a.,n.a.,n.a.,4177,3906,n.a.,n.a.,328846,325234,319099,n.a.,n.a.,n.a.,217504,202275,n.a.,n.a.,636254,595707,602655,n.a.,n.a.,n.a.,538927,463448,n.a.,n.a.,1289553,1261994,1257837,n.a.,n.a.,n.a.,1049919,934412
29.,BRISTOL-MYERS SQUIBB GMBH & CO. KGAA,MöNCHEN,"MÅnchen, Landeshauptstadt",1874,04/2020,n.a.,2468,1409,1397,991,555,955,1637,2375,2491,n.a.,804,756,694,618,544,706,730,745,755,n.a.,92576,86043,75319,71850,63980,69275,73454,72287,72395,n.a.,909133,658546,514801,255464,164898,123650,115231,97800,107598,n.a.,1232909,988451,789141,486825,370644,263818,214398,188085,185228
30.,CELANESE PRODUCTION GERMANY GMBH & CO. KG,SULZBACH,Main-Taunus,24/03/2015,04/2020,n.a.,469028,525255,572634,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1094,1017,949,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,94988,87187,85916,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,769128,695475,563119,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1194017,1093248,952972,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
31.,TAKEDA GMBH,KONSTANZ,Konstanz,17/07/2006,04/2020,n.a.,2608413,2645006,2575262,3079582,3189031,5505220,5478992,5046209,5097370,n.a.,1723,1674,1606,1624,1463,48,51,62,67,n.a.,172552,150266,130389,123466,115236,4602,4838,6565,6548,n.a.,441554,428924,447047,316053,281264,n.a.,n.a.,n.a.,n.a.,n.a.,1099619,1055661,1237183,1262805,1208960,16869,18139,17522,15912
32.,SHOWA DENKO CARBON GERMANY GMBH,MEITINGEN,UnterallgÑu,16/07/2015,04/2020,n.a.,34235,32983,18169,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,72,63,106,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,15630,10931,14516,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1039127,257337,208121,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1099879,292488,245893,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
33.,MERZ PHARMA GMBH & CO. KGAA,FRANKFURT,Frankfurt am Main,1908,04/2020,n.a.,756446,798011,907551,n.a.,n.a.,269441,276983,260626,300376,n.a.,3054,2976,2938,n.a.,n.a.,2465,2419,n.a.,n.a.,n.a.,329073,317892,309597,n.a.,n.a.,214021,210044,199572,137520,n.a.,n.a.,143769,108327,n.a.,n.a.,n.a.,n.a.,48970,45824,n.a.,1024395,1023166,1092876,n.a.,n.a.,980225,913109,780392,649596
34.,FERRO GMBH,FRANKFURT,Frankfurt am Main,16/07/2001,04/2020,n.a.,n.a.,n.a.,498338,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1041175,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
35.,AXALTA COATING SYSTEMS GERMANY GMBH & CO. KG,WUPPERTAL,Wuppertal,1902,04/2020,n.a.,132349,155412,156711,141888,111429,n.a.,99283,97165,96988,n.a.,1866,1927,1987,2000,2074,n.a.,2177,2177,2267,n.a.,172000,170,167000,179000,174000,n.a.,173000,171000,168000,n.a.,422000,414,403000,397000,375000,n.a.,389000,380000,359000,n.a.,1010143,999728,956224,876756,849355,n.a.,859637,828566,783899
36.,TESA SE,NORDERSTEDT,Segeberg,16/07/2008,04/2020,n.a.,318398,276086,250549,247674,204416,194205,196828,188577,189303,n.a.,1119,1042,1009,1027,979,922,881,841,804,n.a.,122566,109123,100890,101602,99630,93782,82271,81713,73057,n.a.,583995,525888,460140,432106,436544,436831,423239,408647,376998,n.a.,981773,884926,796786,726210,723576,710115,687947,658115,612724
37.,CLARIANT PLASTICS & COATINGS (DEUTSCHLAND) GMBH,FRANKFURT,Frankfurt am Main,1862,04/2020,n.a.,229514,218573,216620,10458,11421,11818,13292,13704,15569,n.a.,1932,1906,1931,418,438,456,486,502,530,n.a.,184902,174380,168974,35104,33503,33021,35439,34125,36222,n.a.,438941,425915,375066,65793,65156,65576,70034,74844,75962,n.a.,955073,933410,864208,140945,137930,138384,145400,152443,158681
38.,DAIICHI SANKYO EUROPE GMBH,MöNCHEN,"MÅnchen, Landeshauptstadt",09/12/1963,04/2020,n.a.,219525,88610,n.a.,94944,123442,141093,151871,195888,266801,n.a.,1700,1560,n.a.,1920,1971,2137,2482,2490,2476,n.a.,183317,165245,n.a.,192331,180612,193019,211667,202473,187798,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,949498,839541,n.a.,773561,782294,784072,767299,824307,789232
39.,JOHNSON & JOHNSON MEDICAL GMBH,NORDERSTEDT,Segeberg,1956,04/2020,n.a.,262648,191605,154006,138865,234436,221059,158620,156475,157149,n.a.,1958,1931,2026,2109,2052,2004,1860,1971,2078,n.a.,204685,187979,194982,212655,192339,147239,127219,162166,132209,n.a.,492837,491989,507000,447650,382836,251253,273808,278175,261445,n.a.,913931,908654,913588,869792,802882,582963,505052,501475,474128
40.,DALLI-WERKE GMBH & CO. KG,STOLBERG,StÑdteregion Aachen,20/09/1937,04/2020,n.a.,210122,191746,142041,145350,110121,94241,98775,99032,101448,n.a.,1884,1967,1978,1845,1801,1922,1986,1992,2016,n.a.,119743,121629,126430,114401,112190,109487,109350,105322,103137,n.a.,546209,579784,579271,532929,543523,568264,543564,555704,440425,n.a.,895782,971068,981433,910776,905237,912152,850578,851576,734841
41.,SALUTAS PHARMA GMBH,BARLEBEN,Bîrde,21/12/1990,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1354,1072,1448,1470,1470,1470,1400,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
42.,KURARAY EUROPE GMBH,HATTERSHEIM,Main-Taunus,10/04/1991,04/2020,n.a.,310029,300982,301610,312469,333342,273803,249866,249510,263551,n.a.,765,713,723,639,603,596,563,532,503,n.a.,71727,66694,60739,57780,51088,47412,43618,39998,39252,n.a.,572739,542345,480292,385732,371838,311232,328600,294716,243325,n.a.,873192,833918,741364,623010,581492,493915,521457,487673,446572
43.,BLUE CUBE GERMANY ASSETS GMBH & CO.KG,STADE,Stade,11/03/2015,04/2020,n.a.,296165,305608,325534,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,208,4,4,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,592374,555844,451440,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,805890,741393,679541,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
44.,VERBIO VEREINIGTE BIOENERGIE AG,ZôRBIG,Anhalt-Bitterfeld,19/05/2006,04/2020,210241,168351,164938,168241,180249,189887,196988,n.a.,336436,345846,589,526,490,470,479,567,793,n.a.,730,447,37215,26729,29069,26480,25050,23047,23416,n.a.,29697,20291,585207,566488,556891,506218,485311,609013,596478,n.a.,644637,431660,779317,685898,726442,654329,618492,733766,705231,n.a.,753975,520576
45.,DOW OLEFINVERBUND GMBH,SCHKOPAU,Saalekreis,11/05/2001,04/2020,n.a.,1172223,1094269,1159798,1171263,1249411,1292544,1335399,1090541,1170182,n.a.,1584,1591,1611,1636,1655,1679,1720,1764,1906,n.a.,142960,145009,138965,145970,138525,141080,146232,133646,145912,n.a.,252320,208992,177776,218494,205642,247474,274657,257355,318570,n.a.,709024,704441,661593,752282,683330,659174,697982,728393,934105
46.,CSL PLASMA GMBH,MARBURG,Marburg-Biedenkopf,17/11/1972,04/2020,n.a.,4218,4133,n.a.,5208,5118,4677,2973,3150,3255,n.a.,301,295,n.a.,297,292,283,286,281,273,n.a.,12235,11512,n.a.,10830,10286,10174,9751,9458,9015,n.a.,718540,727995,n.a.,546345,489298,436167,357483,330452,261750,n.a.,755511,763319,n.a.,576603,520951,461262,384825,355755,285587
47.,UCB PHARMA GMBH,MONHEIM,Mettmann,30/10/1953,04/2020,n.a.,n.a.,n.a.,1169840,576149,1112320,1449331,n.a.,1433094,979493,n.a.,n.a.,n.a.,313,480,474,489,n.a.,519,610,n.a.,n.a.,n.a.,34941,57948,58215,52364,n.a.,68487,52627,n.a.,n.a.,n.a.,256317,223936,184261,190830,n.a.,271280,266986,n.a.,n.a.,n.a.,566628,549477,599687,501990,n.a.,529321,550923
48.,GELITA AG,EBERBACH,Rhein-Neckar,1875,04/2020,n.a.,231264,225393,223016,210826,204694,207032,207983,200989,204489,n.a.,2516,2495,2449,2380,2561,2533,2516,2401,2437,n.a.,150902,142674,130653,132799,127137,120018,120562,104556,103297,n.a.,328397,355895,323420,360692,358613,408347,354943,271891,200319,n.a.,696441,708947,693509,674662,655877,709030,640105,510096,438285
49.,KRONOS TITAN GMBH,LEVERKUSEN,Leverkusen,13/12/1985,04/2020,n.a.,121966,122565,117785,121350,131922,140259,141399,142158,152074,n.a.,943,964,956,1037,1065,1061,1062,1021,983,n.a.,86782,80390,65226,78772,80479,74798,73904,74999,71598,n.a.,345040,271310,315661,331659,317536,369055,362057,374711,308595,n.a.,736173,796986,615907,600976,604814,669902,734778,715289,514645
50.,OQEMA AG,KORSCHENBROICH,Neuss,1922,04/2020,n.a.,90756,86325,86042,82508,55210,51465,48384,43136,28887,n.a.,807,78,781,710,644,501,415,422,372,n.a.,42207,37294,35014,31504,24414,20560,19109,17854,16740,n.a.,588609,551701,482571,445495,364698,291895,259671,248060,208590,n.a.,703118,658355,581818,526274,430670,347667,313592,301763,260388
51.,ROCHE DIABETES CARE GMBH,MANNHEIM,Mannheim,23/07/2014,04/2020,n.a.,115842,128153,163934,180228,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1215,1312,1336,944,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,147221,171437,124443,81758,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,360599,389658,380642,257472,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,694740,830358,746865,467439,n.a.,n.a.,n.a.,n.a.,n.a.
52.,GRöNENTHAL GMBH,AACHEN,StÑdteregion Aachen,04/01/1946,04/2020,n.a.,2027019,1281584,1059667,978003,886368,606393,538430,567861,573017,n.a.,1335,1492,1461,1389,1439,1620,1664,1643,1630,n.a.,155494,149821,151920,140255,137322,136282,141171,129796,132796,n.a.,101967,154259,142729,126845,142387,91067,113880,111310,100640,n.a.,622368,654065,682525,630670,554441,456408,530182,487613,451490
53.,ASTRAZENECA GMBH,WEDEL,Pinneberg,21/10/1963,04/2020,n.a.,n.a.,22374,25247,25570,27006,26963,31030,42017,39266,n.a.,n.a.,781,786,953,966,950,1176,1244,1218,n.a.,n.a.,88245,83062,83765,108590,105702,111159,122024,119445,n.a.,n.a.,372197,468250,421422,451344,419562,536943,703204,759047,n.a.,n.a.,644222,762527,727103,642903,605749,733336,979123,1028117
54.,ROCHE DIAGNOSTICS DEUTSCHLAND GMBH,MANNHEIM,Mannheim,23/11/2009,04/2020,n.a.,138006,126472,113250,105484,98172,108026,110127,141789,124626,n.a.,935,924,903,1384,1374,1386,1376,1331,1294,n.a.,115021,127749,86005,150263,135950,142443,154690,128215,117549,n.a.,393147,401458,387006,506608,458568,492901,647903,710540,481851,n.a.,656504,643437,606830,853448,790560,887979,1018368,1098945,1067099
